"","date","open","high","low","close","volume","adjusted"
"1",2013-01-02,4.11,4.13,4.11,4.13,31600,3.72785
"2",2013-01-03,4.13,4.13,4.13,4.13,21800,3.72785
"3",2013-01-04,4.13,4.13,4.1,4.1,6000,3.700772
"4",2013-01-07,4.11,4.2,4.11,4.11,41400,3.709798
"5",2013-01-08,4.11,4.12,4.09,4.09,20400,3.691746
"6",2013-01-09,4.11,4.2,4.11,4.12,15200,3.718824
"7",2013-01-10,4.11,4.15,4.11,4.15,11000,3.745903
"8",2013-01-11,4.15,4.18,4.15,4.18,44600,3.772982
"9",2013-01-14,4.16,4.17,4.14,4.14,6200,3.736877
"10",2013-01-15,4.17,4.18,4.16,4.18,13800,3.772982
"11",2013-01-16,4.18,4.24,4.18,4.24,30900,3.82714
"12",2013-01-17,4.21,4.21,4.2,4.2,42000,3.791034
"13",2013-01-18,4.23,4.23,4.2,4.21,9800,3.800061
"14",2013-01-21,4.2,4.24,4.18,4.19,80000,3.782008
"15",2013-01-22,4.2,4.2,4.15,4.19,92700,3.782008
"16",2013-01-23,4.16,4.19,4.15,4.15,34700,3.745903
"17",2013-01-25,4.15,4.2,4.15,4.18,25000,3.772982
"18",2013-01-29,4.18,4.2,4.18,4.18,27600,3.772982
"19",2013-01-30,4.15,4.18,4.15,4.15,10700,3.745903
"20",2013-01-31,4.14,4.16,4.14,4.16,2000,3.75493
"21",2013-02-04,4.12,4.18,4.12,4.18,13000,3.772982
"22",2013-02-05,4.15,4.15,4.15,4.15,5800,3.745903
"23",2013-02-06,4.16,4.18,4.13,4.14,13000,3.736877
"24",2013-02-07,4.14,4.14,4.14,4.14,0,3.736877
"25",2013-02-08,4.15,4.16,4.13,4.13,6300,3.72785
"26",2013-02-13,4.13,4.18,4.09,4.18,13700,3.772982
"27",2013-02-14,4.11,4.18,4.11,4.18,5500,3.772982
"28",2013-02-15,4.12,4.18,4.12,4.18,6100,3.772982
"29",2013-02-18,4.13,4.18,4.13,4.18,5300,3.772982
"30",2013-02-19,4.15,4.16,4.13,4.13,23800,3.72785
"31",2013-02-20,4.18,4.2,4.13,4.13,19200,3.72785
"32",2013-02-21,4.14,4.18,4.13,4.13,15300,3.72785
"33",2013-02-22,4.13,4.16,4.13,4.16,4500,3.75493
"34",2013-02-25,4.18,4.2,4.16,4.2,5000,3.791034
"35",2013-02-26,4.16,4.18,4.14,4.18,5900,3.772982
"36",2013-02-27,4.16,4.18,4.16,4.18,13200,3.772982
"37",2013-02-28,4.13,4.16,4.13,4.14,28100,3.736877
"38",2013-03-01,4.14,4.18,4.14,4.16,29100,3.75493
"39",2013-03-04,4.14,4.16,4.14,4.16,20700,3.75493
"40",2013-03-05,4.16,4.18,4.16,4.18,12500,3.772982
"41",2013-03-06,4.18,4.18,4.16,4.17,16400,3.763956
"42",2013-03-07,4.17,4.18,4.15,4.18,36800,3.772982
"43",2013-03-08,4.17,4.2,4.16,4.2,23300,3.791034
"44",2013-03-11,4.19,4.19,4.17,4.17,3600,3.763956
"45",2013-03-12,4.17,4.2,4.17,4.2,5100,3.791034
"46",2013-03-13,4.18,4.2,4.18,4.2,20800,3.791034
"47",2013-03-14,4.19,4.2,4.16,4.19,10400,3.782008
"48",2013-03-15,4.2,4.21,4.2,4.2,77600,3.791034
"49",2013-03-18,4.2,4.2,4.19,4.2,28900,3.791034
"50",2013-03-19,4.17,4.21,4.17,4.21,26700,3.800061
"51",2013-03-20,4.22,4.23,4.2,4.22,46600,3.809087
"52",2013-03-21,4.23,4.25,4.23,4.24,10800,3.82714
"53",2013-03-22,4.23,4.26,4.23,4.26,57900,3.845192
"54",2013-03-25,4.27,4.32,4.24,4.3,113100,3.881297
"55",2013-03-26,4.3,4.31,4.3,4.31,31000,3.890323
"56",2013-03-27,4.32,4.4,4.32,4.4,74800,3.97156
"57",2013-03-28,4.4,4.45,4.33,4.45,33100,4.016691
"58",2013-03-29,4.38,4.44,4.38,4.42,19500,3.989612
"59",2013-04-01,4.38,4.45,4.38,4.44,11700,4.007665
"60",2013-04-02,4.44,4.46,4.43,4.46,46000,4.025718
"61",2013-04-03,4.46,4.49,4.36,4.44,33200,4.007665
"62",2013-04-04,4.46,4.46,4.42,4.42,22000,3.989612
"63",2013-04-05,4.43,4.47,4.4,4.4,10000,3.97156
"64",2013-04-08,4.4,4.44,4.4,4.44,5000,4.007665
"65",2013-04-09,4.4,4.43,4.4,4.43,22300,3.998639
"66",2013-04-10,4.44,4.59,4.44,4.59,36700,4.143059
"67",2013-04-11,4.58,4.59,4.49,4.49,138000,4.052796
"68",2013-04-12,4.51,4.51,4.48,4.5,82200,4.061823
"69",2013-04-15,4.5,4.5,4.4,4.4,116100,3.97156
"70",2013-04-16,4.4,4.4,4.38,4.4,41500,3.97156
"71",2013-04-17,4.41,4.42,4.41,4.42,2500,3.989612
"72",2013-04-18,4.46,4.46,4.35,4.35,504000,3.926429
"73",2013-04-19,4.36,4.43,4.36,4.39,127400,3.962534
"74",2013-04-22,4.39,4.4,4.39,4.4,17000,3.97156
"75",2013-04-23,4.39,4.39,4.37,4.37,16000,3.944481
"76",2013-04-24,4.37,4.38,4.35,4.38,48600,3.953507
"77",2013-04-25,4.35,4.35,4.35,4.35,13000,3.926429
"78",2013-04-26,4.36,4.36,4.35,4.35,6800,3.926429
"79",2013-04-29,4.32,4.32,4.28,4.28,21000,3.863245
"80",2013-04-30,4.2,4.2,4.2,4.2,2000,3.791034
"81",2013-05-02,4.21,4.22,4.2,4.2,18700,3.791034
"82",2013-05-03,4.21,4.21,4.2,4.2,5600,3.791034
"83",2013-05-06,4.34,4.38,4.34,4.38,26000,3.953507
"84",2013-05-07,4.38,4.4,4.38,4.4,12900,3.97156
"85",2013-05-08,4.4,4.45,4.38,4.38,8500,3.953507
"86",2013-05-09,4.5,4.51,4.5,4.51,38700,4.070848
"87",2013-05-10,4.46,4.5,4.46,4.5,10000,4.061823
"88",2013-05-13,4.5,4.57,4.5,4.53,41900,4.088902
"89",2013-05-14,4.5,4.54,4.48,4.48,63200,4.04377
"90",2013-05-15,4.5,4.56,4.49,4.56,71600,4.11598
"91",2013-05-16,4.53,4.53,4.5,4.5,19000,4.061823
"92",2013-05-17,4.5,4.5,4.5,4.5,24000,4.061823
"93",2013-05-20,4.53,4.55,4.49,4.49,118700,4.052796
"94",2013-05-21,4.5,4.5,4.49,4.49,29200,4.052796
"95",2013-05-22,4.5,4.5,4.45,4.45,29100,4.016691
"96",2013-05-23,4.44,4.44,4.42,4.42,4000,3.989612
"97",2013-05-27,4.41,4.43,4.4,4.4,72300,3.97156
"98",2013-05-28,4.4,4.45,4.3,4.4,44500,3.97156
"99",2013-05-29,4.4,4.45,4.35,4.45,60500,4.016691
"100",2013-05-30,4.45,4.45,4.38,4.4,36500,3.97156
"101",2013-05-31,4.38,4.4,4.38,4.38,17000,3.953507
"102",2013-06-03,4.39,4.45,4.39,4.45,1000,4.016691
"103",2013-06-04,4.48,4.48,4.45,4.45,6500,4.016691
"104",2013-06-05,4.45,4.45,4.44,4.44,9000,4.007665
"105",2013-06-06,4.45,4.45,4.45,4.45,1500,4.016691
"106",2013-06-07,4.49,4.49,4.41,4.42,13300,3.989612
"107",2013-06-10,4.41,4.44,4.4,4.41,36500,3.980586
"108",2013-06-11,4.4,4.42,4.4,4.42,5700,3.989612
"109",2013-06-12,4.4,4.4,4.4,4.4,500,3.97156
"110",2013-06-13,4.4,4.4,4.36,4.36,10000,3.935455
"111",2013-06-14,4.4,4.4,4.38,4.38,15300,3.953507
"112",2013-06-17,4.4,4.4,4.38,4.38,51000,3.953507
"113",2013-06-18,4.4,4.4,4.4,4.4,7000,3.97156
"114",2013-06-19,4.4,4.4,4.4,4.4,20300,3.97156
"115",2013-06-20,4.39,4.4,4.39,4.4,5500,3.97156
"116",2013-06-21,4.37,4.38,4.37,4.38,4000,3.953507
"117",2013-06-24,4.37,4.38,4.37,4.37,6200,3.944481
"118",2013-06-25,4.36,4.36,4.35,4.35,40000,3.926429
"119",2013-06-26,4.35,4.5,4.29,4.48,258800,4.04377
"120",2013-06-27,4.34,4.36,4.34,4.34,3700,3.917402
"121",2013-06-28,4.36,4.38,4.36,4.38,5100,3.953507
"122",2013-07-01,4.4,4.4,4.4,4.4,10000,3.97156
"123",2013-07-02,4.4,4.4,4.4,4.4,1000,3.97156
"124",2013-07-03,4.39,4.4,4.39,4.4,1100,3.97156
"125",2013-07-04,4.39,4.4,4.39,4.39,6800,3.962534
"126",2013-07-05,4.54,4.54,4.4,4.4,7500,3.97156
"127",2013-07-08,4.4,4.4,4.35,4.35,253000,3.926429
"128",2013-07-09,4.36,4.4,4.36,4.4,12800,3.97156
"129",2013-07-10,4.4,4.4,4.36,4.36,6000,3.935455
"130",2013-07-11,4.37,4.37,4.3,4.3,86000,3.881297
"131",2013-07-12,4.42,4.42,4.3,4.3,170100,3.881297
"132",2013-07-15,4.38,4.38,4.3,4.3,100800,3.881297
"133",2013-07-16,4.37,4.37,4.3,4.3,166600,3.881297
"134",2013-07-17,4.37,4.38,4.3,4.3,212000,3.881297
"135",2013-07-18,4.31,4.38,4.3,4.38,147600,3.953507
"136",2013-07-19,4.32,4.36,4.32,4.36,12500,3.935455
"137",2013-07-22,4.36,4.36,4.36,4.36,1300,3.935455
"138",2013-07-23,4.36,4.44,4.3,4.31,169700,3.890323
"139",2013-07-24,4.31,4.31,4.3,4.3,607000,3.881297
"140",2013-07-25,4.31,4.38,4.31,4.38,8000,3.953507
"141",2013-07-26,4.32,4.37,4.32,4.37,2100,3.944481
"142",2013-07-29,4.35,4.35,4.35,4.35,7000,3.926429
"143",2013-07-30,4.34,4.35,4.32,4.33,11100,3.908376
"144",2013-07-31,4.33,4.33,4.27,4.27,64000,3.854218
"145",2013-08-01,4.3,4.32,4.3,4.31,11000,3.890323
"146",2013-08-02,4.31,4.31,4.31,4.31,1000,3.890323
"147",2013-08-05,4.31,4.31,4.3,4.3,10000,3.881297
"148",2013-08-06,4.3,4.31,4.3,4.31,3000,3.890323
"149",2013-08-12,4.38,4.39,4.35,4.37,18800,3.944481
"150",2013-08-13,4.37,4.38,4.36,4.38,4500,3.953507
"151",2013-08-14,4.38,4.39,4.37,4.38,65500,3.953507
"152",2013-08-15,4.38,4.38,4.38,4.38,0,3.953507
"153",2013-08-16,4.38,4.38,4.37,4.38,10900,3.953507
"154",2013-08-19,4.38,4.38,4.38,4.38,7000,3.953507
"155",2013-08-20,4.34,4.38,4.33,4.34,13000,3.917402
