"","date","open","high","low","close","volume","adjusted"
"1",2013-01-02,46.400002,46.459999,46.200001,46.459999,9900,42.113712
"2",2013-01-03,46.599998,47.299999,46.459999,47,38600,42.603195
"3",2013-01-04,47,47.380001,46.900002,47,28200,42.603195
"4",2013-01-07,47,47,46.599998,46.599998,9600,42.24062
"5",2013-01-08,46,46.599998,46,46.119999,5400,41.805523
"6",2013-01-09,46.099998,46.119999,46,46.080002,32700,41.769272
"7",2013-01-10,46.080002,46.080002,45.900002,45.98,2800,41.678623
"8",2013-01-11,45.799999,45.959999,45.599998,45.779999,6400,41.497322
"9",2013-01-14,45.799999,46.099998,45.779999,45.84,4300,41.55172
"10",2013-01-15,46,46,45.66,45.66,1500,41.388557
"11",2013-01-16,45.66,45.66,45.439999,45.439999,1800,41.189129
"12",2013-01-17,45.439999,45.439999,45.040001,45.080002,8700,40.862812
"13",2013-01-18,45.080002,45.080002,44.84,44.84,11900,40.645264
"14",2013-01-21,44.5,44.52,43.799999,43.799999,34600,39.70256
"15",2013-01-22,43.799999,43.799999,42.799999,42.880001,131300,38.868622
"16",2013-01-23,43.040001,43.040001,42.82,42.880001,48200,38.868622
"17",2013-01-25,43.5,43.5,42.619999,42.700001,11500,38.705456
"18",2013-01-29,42.700001,42.700001,42.48,42.52,74200,38.542305
"19",2013-01-30,42.380001,42.380001,42,42.279999,28600,38.324745
"20",2013-01-31,42.279999,42.34,42.099998,42.32,195300,38.361004
"21",2013-02-04,42.299999,42.799999,42,42.259998,41100,38.306614
"22",2013-02-05,42.259998,42.259998,42.02,42.220001,25800,38.270363
"23",2013-02-06,42.700001,42.900002,42.200001,42.700001,5600,38.705456
"24",2013-02-07,42.400002,42.400002,42.299999,42.400002,7500,38.433525
"25",2013-02-08,42.299999,42.400002,42.099998,42.400002,19100,38.433525
"26",2013-02-13,42.400002,42.400002,42.299999,42.400002,2500,38.433525
"27",2013-02-14,42.799999,42.799999,42.400002,42.779999,3500,38.777973
"28",2013-02-15,43,43,42.099998,42.779999,2300,38.777973
"29",2013-02-18,42.779999,42.779999,42.299999,42.66,3000,38.669201
"30",2013-02-19,42.099998,42.5,42,42.5,27200,38.524174
"31",2013-02-20,42,42.200001,41.959999,41.98,112800,38.052811
"32",2013-02-21,41.98,42,41.400002,42,113100,38.070938
"33",2013-02-22,42,42.099998,41.799999,42.099998,18500,38.161583
"34",2013-02-25,42.48,42.68,42.240002,42.400002,15200,38.433525
"35",2013-02-26,42.5,42.66,42.099998,42.66,16900,38.669201
"36",2013-02-27,43.200001,44.5,43.200001,44.400002,34400,40.246429
"37",2013-02-28,45.200001,46.459999,45.080002,46,54700,41.696743
"38",2013-03-01,46.040001,46.040001,45.619999,45.619999,13500,41.352299
"39",2013-03-04,45.599998,45.68,45.52,45.68,25600,41.406681
"40",2013-03-05,46,46.400002,46,46.099998,23600,41.787395
"41",2013-03-06,45.799999,46.279999,45.799999,46.16,9200,41.841785
"42",2013-03-07,46.16,46.16,46.16,46.16,600,41.841785
"43",2013-03-08,46.18,46.380001,46,46,13600,41.696743
"44",2013-03-11,46,46,45.799999,45.900002,4700,41.606102
"45",2013-03-12,45.799999,46.099998,45.799999,46,6200,41.696743
"46",2013-03-13,46.080002,46.68,46.080002,46.599998,35800,42.24062
"47",2013-03-14,46.68,47.5,46.68,47.48,43000,43.038292
"48",2013-03-15,47.48,47.599998,47.400002,47.400002,10500,42.965782
"49",2013-03-18,47.400002,47.400002,46.52,46.599998,20100,42.24062
"50",2013-03-19,46.599998,47.279999,46.599998,47.279999,4200,42.857006
"51",2013-03-20,46.700001,47.5,46.700001,47.5,24100,43.056423
"52",2013-03-21,47.200001,47.5,47.200001,47.48,5800,43.038292
"53",2013-03-22,47.400002,47.400002,47.299999,47.400002,6100,42.965782
"54",2013-03-25,47.400002,47.400002,47,47.400002,7600,42.965782
"55",2013-03-26,47.5,47.700001,47.400002,47.66,16200,43.201454
"56",2013-03-27,47.66,47.66,47.400002,47.419998,5100,42.98391
"57",2013-03-28,47.419998,47.5,47.02,47.439999,18500,43.002029
"58",2013-03-29,47.200001,47.599998,47.200001,47.599998,3300,43.147064
"59",2013-04-01,47.220001,47.5,47.200001,47.5,112200,43.056423
"60",2013-04-02,47.5,47.5,47.48,47.5,38900,43.056423
"61",2013-04-03,47.5,47.599998,47.200001,47.419998,36600,42.98391
"62",2013-04-04,47.400002,47.439999,47.360001,47.439999,19000,43.002029
"63",2013-04-05,47.5,48.459999,47.5,48.459999,18900,43.926617
"64",2013-04-08,48.599998,49.299999,48.599998,49,21100,44.416096
"65",2013-04-09,49,49,48.66,48.66,2100,44.107903
"66",2013-04-10,49,49.200001,48.52,48.900002,3200,44.325459
