"","date","open","high","low","close","volume","adjusted"
"1",2013-01-02,63,63,62.240002,62.860001,12500,52.84584
"2",2013-01-03,63.380001,63.380001,62.860001,63,42000,52.963528
"3",2013-01-04,63,63,62.880001,63,20500,52.963528
"4",2013-01-07,63,63,62.959999,62.959999,3000,52.929909
"5",2013-01-08,62.900002,62.900002,62,62.880001,70300,52.862656
"6",2013-01-09,63.48,63.48,62.220001,62.220001,5200,52.307804
"7",2013-01-10,63.279999,63.279999,62,62,24500,52.122841
"8",2013-01-11,62,62,61.400002,61.68,14000,51.853821
"9",2013-01-14,62,62,61.400002,61.400002,11000,51.618431
"10",2013-01-15,61.400002,61.400002,61.299999,61.299999,1000,51.534363
"11",2013-01-16,61.299999,61.299999,60.799999,60.799999,9900,51.114014
"12",2013-01-17,61.200001,61.200001,60.700001,61,4600,51.282158
"13",2013-01-18,60.900002,61.279999,60.799999,60.799999,3800,51.114014
"14",2013-01-21,61.580002,61.580002,60,60,13200,50.441467
"15",2013-01-22,59.98,59.98,58.099998,59.48,16200,50.004311
"16",2013-01-23,59.5,59.959999,59.5,59.900002,27600,50.357399
"17",2013-01-25,60,60,59.799999,59.799999,4100,50.273323
"18",2013-01-29,59.900002,59.900002,59.5,59.779999,3700,50.256512
"19",2013-01-30,59.799999,59.799999,59.380001,59.380001,28100,49.920235
"20",2013-01-31,59.299999,59.299999,58.380001,58.400002,36000,49.096359
"21",2013-02-04,59.18,59.360001,59,59,24600,49.600773
"22",2013-02-05,59.099998,59.259998,58.98,59.259998,8600,49.819355
"23",2013-02-06,59.400002,59.400002,58.919998,58.959999,17900,49.567146
"24",2013-02-07,59.400002,59.400002,58.82,59.380001,17600,49.920235
"25",2013-02-08,59.560001,59.560001,59.380001,59.560001,5900,50.07156
"26",2013-02-13,59.380001,59.900002,59.380001,59.759998,2900,50.239689
"27",2013-02-14,60,60,59.32,59.560001,5000,50.07156
"28",2013-02-15,59.560001,59.900002,59.560001,59.900002,5900,50.357399
"29",2013-02-18,59.900002,60,58.5,59,11500,49.600773
"30",2013-02-19,59,59.400002,58.700001,58.98,8600,49.583961
